IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
129.151.204.91,443,443,true,ARN,Europe,SE,Stockholm,424,6.09
129.159.204.22,443,443,true,FRA,Europe,DE,Frankfurt,219,6.08
141.147.6.40,443,443,true,FRA,Europe,DE,Frankfurt,350,6.05
193.123.33.234,443,443,true,FRA,Europe,DE,Frankfurt,429,6.03
158.101.219.44,443,443,true,FRA,Europe,DE,Frankfurt,308,6.03
158.101.180.74,443,443,true,FRA,Europe,DE,Frankfurt,234,6.01
158.180.82.203,8443,443,true,ICN,Asia Pacific,KR,Seoul,139,6.01
89.168.107.197,443,443,true,FRA,Europe,DE,Frankfurt,591,5.99
140.245.66.31,443,443,true,ICN,Asia Pacific,KR,Seoul,207,5.99
152.70.155.147,2087,2087,true,LAX,North America,US,Los Angeles,283,5.99
158.180.21.27,443,443,true,FRA,Europe,DE,Frankfurt,276,5.98
150.230.122.79,443,443,true,FRA,Europe,DE,Frankfurt,248,5.98
141.144.207.194,443,443,true,FRA,Europe,DE,Frankfurt,234,5.97
140.238.126.148,443,443,true,FRA,Europe,DE,Frankfurt,183,5.96
141.148.247.178,443,443,true,FRA,Europe,DE,Frankfurt,210,5.96
79.72.73.200,443,443,true,FRA,Europe,DE,Frankfurt,404,5.93
144.21.33.193,443,443,true,FRA,Europe,DE,Frankfurt,207,5.92
144.21.53.73,443,443,true,FRA,Europe,DE,Frankfurt,270,5.92
79.72.95.26,443,443,true,FRA,Europe,DE,Frankfurt,348,5.91
132.145.54.84,2053,443,true,LHR,Europe,GB,London,258,5.89
152.67.198.3,443,2096,true,ICN,Asia Pacific,KR,Seoul,276,5.88
84.8.148.150,443,443,true,FRA,Europe,DE,Frankfurt,372,5.86
132.145.248.231,443,443,true,FRA,Europe,DE,Frankfurt,276,5.83
138.3.246.61,443,443,true,FRA,Europe,DE,Frankfurt,459,5.77
141.147.72.95,443,443,true,FRA,Europe,DE,Frankfurt,240,5.77
64.110.104.30,443,443,true,KIX,Asia Pacific,JP,Osaka,150,5.76
217.142.138.20,443,443,true,ICN,Asia Pacific,KR,Seoul,296,5.75
158.180.17.103,443,443,true,FRA,Europe,DE,Frankfurt,209,5.73
152.67.142.211,443,443,true,FRA,Europe,DE,Frankfurt,383,5.72
132.145.254.162,443,443,true,FRA,Europe,DE,Frankfurt,330,5.71
193.123.69.77,443,443,true,MRS,Europe,FR,Marseille,345,5.71
129.154.46.115,443,443,true,HYD,Asia Pacific,IN,Hyderabad,129,5.70
193.122.55.20,443,443,true,FRA,Europe,DE,Frankfurt,245,5.69
138.2.122.191,443,443,true,ICN,Asia Pacific,KR,Seoul,267,5.69
132.145.13.118,443,443,true,FRA,Europe,DE,Frankfurt,335,5.69
193.122.117.159,443,443,true,ICN,Asia Pacific,KR,Seoul,191,5.68
158.178.192.221,443,443,true,CDG,Europe,FR,Paris,288,5.67
131.186.25.156,2087,2096,true,ICN,Asia Pacific,KR,Seoul,130,5.65
146.56.101.141,443,443,true,ICN,Asia Pacific,KR,Seoul,154,5.65
217.142.128.252,443,443,true,ICN,Asia Pacific,KR,Seoul,302,5.62
158.180.65.145,443,443,true,ICN,Asia Pacific,KR,Seoul,114,5.61
129.154.59.99,443,443,true,ICN,Asia Pacific,KR,Seoul,207,5.61
132.145.116.185,443,443,true,NRT,Asia Pacific,JP,Tokyo,174,5.61
130.162.185.136,443,443,true,FRA,Europe,DE,Frankfurt,280,5.56
158.180.19.119,443,443,true,FRA,Europe,DE,Frankfurt,292,5.54
152.67.154.254,443,443,true,FRA,Europe,DE,Frankfurt,328,5.52
89.168.76.38,443,443,true,FRA,Europe,DE,Frankfurt,417,5.52
150.230.120.192,443,443,true,FRA,Europe,DE,Frankfurt,260,5.52
140.238.58.181,2053,443,true,NRT,Asia Pacific,JP,Tokyo,247,5.51
89.168.127.117,443,443,true,FRA,Europe,DE,Frankfurt,381,5.51
143.47.254.32,443,443,true,FRA,Europe,DE,Frankfurt,209,5.49
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,208,5.47
129.159.22.4,443,443,true,MAA,Asia Pacific,IN,Chennai,186,5.47
193.122.56.23,443,443,true,FRA,Europe,DE,Frankfurt,405,5.46
158.178.145.76,443,443,true,FRA,Europe,DE,Frankfurt,345,5.46
131.186.30.44,2053,443,true,ICN,Asia Pacific,KR,Seoul,108,5.45
193.122.3.34,443,443,true,FRA,Europe,DE,Frankfurt,293,5.44
150.230.7.216,443,443,true,KIX,Asia Pacific,JP,Osaka,79,5.43
